tempo_s,temperatura_bruta_C,temperatura_filtrada_C,delta_T_C,taxa_C_min,estado
0.901,21.72,21.72,0.0,,ESTABILIZANDO
1.234,21.67,21.695,-0.025,,ESTABILIZANDO
1.583,21.91,21.72,0.0,,ESTABILIZANDO
1.903,22.11,21.814999999999998,0.095,,ESTABILIZANDO
2.247,21.91,21.91,0.19,,ESTABILIZANDO
2.552,21.91,21.91,0.19,,ESTABILIZANDO
2.871,21.86,21.91,0.19,,ESTABILIZANDO
3.189,21.62,21.91,0.19,,ESTABILIZANDO
3.499,21.08,21.86,0.14,,ESTABILIZANDO
3.837,21.33,21.62,-0.1,,ESTABILIZANDO
4.16,21.37,21.37,-0.35,,ESTABILIZANDO
4.508,21.52,21.37,-0.35,,ESTABILIZANDO
4.816,21.72,21.37,-0.35,,ESTABILIZANDO
5.14,22.06,21.52,-0.2,,ESTABILIZANDO
5.553,21.96,21.72,0.0,,ESTABILIZANDO
5.986,21.91,21.91,0.19,,ESTABILIZANDO
6.43,21.81,21.91,0.19,,ESTABILIZANDO
6.84,21.57,21.91,0.19,,ESTABILIZANDO
7.332,21.37,21.81,0.09,,ESTABILIZANDO
7.721,21.37,21.57,-0.15,,ESTABILIZANDO
8.177,21.52,21.52,-0.2,,ESTABILIZANDO
8.615,21.52,21.52,-0.2,,ESTABILIZANDO
9.04,21.77,21.52,-0.2,,ESTABILIZANDO
9.529,22.16,21.52,-0.2,,ESTABILIZANDO
9.977,21.96,21.77,0.05,,ESTABILIZANDO
10.377,21.81,21.81,0.09,,ESTABILIZANDO
10.828,21.81,21.81,0.09,,ESTABILIZANDO
11.268,21.42,21.81,0.09,,ESTABILIZANDO
11.663,21.52,21.81,0.09,,ESTABILIZANDO
12.139,21.28,21.52,-0.2,0.2047,ESTAVEL
12.565,21.72,21.52,-0.2,-0.1879,ESTAVEL
13.027,21.72,21.52,-0.2,-0.5847,RESFRIANDO
13.484,21.91,21.72,0.0,-0.8231,RESFRIANDO
13.912,22.06,21.72,0.0,-0.8676,RESFRIANDO
14.387,21.91,21.91,0.19,-0.4252,RESFRIANDO
14.86,22.01,21.91,0.19,0.069,ESTAVEL
15.23,21.77,21.91,0.19,0.5535,AQUECENDO
15.568,21.52,21.91,0.19,1.0313,AQUECENDO
16.074,21.57,21.77,0.05,1.3883,AQUECENDO
16.564,21.23,21.57,-0.15,1.1679,AQUECENDO
17.013,21.72,21.57,-0.15,0.7489,AQUECENDO
17.357,21.67,21.57,-0.15,0.3342,AQUECENDO
17.685,21.77,21.67,-0.05,-0.0182,ESTAVEL
18.024,21.77,21.72,0.0,-0.2496,ESTAVEL
18.364,22.21,21.77,0.05,0.0244,ESTAVEL
18.684,21.96,21.77,0.05,0.4175,AQUECENDO
19.056,21.91,21.91,0.19,0.9016,AQUECENDO
19.431,21.62,21.91,0.19,1.1444,AQUECENDO
19.764,21.72,21.91,0.19,1.3286,AQUECENDO
20.102,21.62,21.72,0.0,1.0065,AQUECENDO
20.435,21.37,21.62,-0.1,0.5828,AQUECENDO
20.788,21.86,21.62,-0.1,0.149,ESTAVEL
21.21,21.86,21.72,0.0,-0.2289,ESTAVEL
21.621,21.96,21.86,0.14,-0.3372,RESFRIANDO
21.963,21.91,21.86,0.14,-0.0134,ESTAVEL
22.316,21.77,21.86,0.14,0.3469,AQUECENDO
22.651,21.91,21.91,0.19,0.7519,AQUECENDO
23.069,21.33,21.91,0.19,1.0262,AQUECENDO
23.556,21.52,21.77,0.05,1.1348,AQUECENDO
24.0,21.77,21.77,0.05,0.9653,AQUECENDO
24.425,21.77,21.77,0.05,0.7914,AQUECENDO
24.855,21.86,21.77,0.05,0.4147,AQUECENDO
25.276,22.16,21.77,0.05,0.179,ESTAVEL
25.677,21.96,21.86,0.14,0.0072,ESTAVEL
26.078,22.06,21.96,0.24,0.3137,AQUECENDO
26.525,21.91,21.96,0.24,0.7583,AQUECENDO
26.959,21.72,21.96,0.24,1.1962,AQUECENDO
27.374,21.47,21.91,0.19,1.4546,AQUECENDO
27.836,21.72,21.72,0.0,1.2838,AQUECENDO
28.205,21.37,21.72,0.0,0.9759,AQUECENDO
28.522,21.72,21.72,0.0,0.6734,AQUECENDO
28.832,21.86,21.72,0.0,0.3098,AQUECENDO
29.136,21.81,21.72,0.0,0.02,ESTAVEL
29.573,21.91,21.81,0.09,0.0133,ESTAVEL
30.034,22.16,21.86,0.14,0.0728,ESTAVEL
30.494,21.62,21.86,0.14,0.1319,ESTAVEL
31.055,21.77,21.81,0.09,0.2495,ESTAVEL
31.612,21.62,21.77,0.05,0.3396,AQUECENDO
32.133,21.67,21.67,-0.05,0.2467,ESTAVEL
32.627,21.72,21.67,-0.05,-0.0968,ESTAVEL
33.193,21.67,21.67,-0.05,-0.5001,RESFRIANDO
34.018,22.16,21.67,-0.05,-0.8956,RESFRIANDO
34.481,22.06,21.72,0.0,-1.1257,RESFRIANDO
34.92,21.91,21.91,0.19,-0.9099,RESFRIANDO
35.385,22.01,22.01,0.29,-0.6357,RESFRIANDO
35.869,21.72,22.01,0.29,-0.366,RESFRIANDO
36.326,21.42,21.91,0.19,-0.1324,ESTAVEL
36.903,21.42,21.72,0.0,-0.0178,ESTAVEL
37.364,21.67,21.67,-0.05,-0.1222,ESTAVEL
37.8,21.67,21.67,-0.05,-0.2803,ESTAVEL
38.262,21.81,21.67,-0.05,-0.4335,RESFRIANDO
38.686,21.81,21.67,-0.05,-0.5278,RESFRIANDO
39.145,22.3,21.81,0.09,-0.5,RESFRIANDO
39.629,21.96,21.81,0.09,-0.3157,RESFRIANDO
40.2,21.91,21.91,0.19,-0.027,ESTAVEL
40.669,21.62,21.91,0.19,0.257,ESTAVEL
41.135,21.62,21.91,0.19,0.5405,AQUECENDO
41.595,21.81,21.81,0.09,0.6902,AQUECENDO
42.051,21.33,21.62,-0.1,0.4332,AQUECENDO
42.509,21.81,21.62,-0.1,0.0696,ESTAVEL
43.134,21.91,21.81,0.09,-0.1928,ESTAVEL
43.557,21.91,21.81,0.09,-0.3489,RESFRIANDO
44.034,21.91,21.91,0.19,-0.2483,ESTAVEL
44.535,22.4,21.91,0.19,-0.0434,ESTAVEL
44.921,22.06,21.91,0.19,0.1911,ESTAVEL
45.221,21.72,21.91,0.19,0.4291,AQUECENDO
45.51,21.62,21.91,0.19,0.6429,AQUECENDO
46.254,21.57,21.72,0.0,0.5731,AQUECENDO
46.614,21.37,21.62,-0.1,0.3913,AQUECENDO
46.948,21.81,21.62,-0.1,0.0958,ESTAVEL
47.26,21.67,21.62,-0.1,-0.2045,ESTAVEL
47.549,21.37,21.57,-0.15,-0.5376,RESFRIANDO
47.834,21.37,21.37,-0.35,-0.8477,RESFRIANDO
48.148,20.93,21.37,-0.35,-0.833,RESFRIANDO
48.442,20.89,21.37,-0.35,-0.7602,RESFRIANDO
48.922,20.15,20.93,-0.79,-1.178,RESFRIANDO
49.405,20.15,20.89,-0.83,-1.6916,RESFRIANDO
49.739,20.05,20.15,-1.57,-2.916,RESFRIANDO
50.06,20.05,20.15,-1.57,-4.2175,RESFRIANDO
50.472,20.45,20.15,-1.57,-5.56,RESFRIANDO
50.789,20.54,20.15,-1.57,-6.9346,RESFRIANDO
51.101,20.49,20.45,-1.27,-8.1402,RESFRIANDO
51.434,20.15,20.45,-1.27,-9.104,RESFRIANDO
51.865,20.35,20.45,-1.27,-9.9512,RESFRIANDO
52.319,19.91,20.35,-1.37,-10.788,RESFRIANDO
52.787,19.81,20.15,-1.57,-11.7494,RESFRIANDO
53.224,19.47,19.91,-1.81,-12.7851,RESFRIANDO
53.574,19.57,19.81,-1.91,-13.6575,RESFRIANDO
53.909,19.61,19.61,-2.11,-14.7903,RESFRIANDO
54.358,19.96,19.61,-2.11,-15.8719,RESFRIANDO
54.867,19.96,19.61,-2.11,-16.1562,RESFRIANDO
55.214,20.2,19.96,-1.76,-16.1708,RESFRIANDO
55.533,19.86,19.96,-1.76,-15.0349,RESFRIANDO
55.847,20.01,19.96,-1.76,-13.873,RESFRIANDO
56.174,19.61,19.96,-1.76,-12.7351,RESFRIANDO
56.488,19.76,19.86,-1.86,-11.6746,RESFRIANDO
56.819,19.52,19.76,-1.96,-11.1129,RESFRIANDO
57.149,19.52,19.61,-2.11,-10.7411,RESFRIANDO
57.456,19.96,19.61,-2.11,-10.4677,RESFRIANDO
57.903,19.86,19.76,-1.96,-9.9671,RESFRIANDO
58.261,19.86,19.86,-1.86,-9.1491,RESFRIANDO
58.593,19.57,19.86,-1.86,-8.0533,RESFRIANDO
58.925,19.66,19.86,-1.86,-6.9564,RESFRIANDO
59.256,19.61,19.66,-2.06,-5.7098,RESFRIANDO
59.572,19.22,19.61,-2.11,-4.5018,RESFRIANDO
59.955,19.47,19.57,-2.15,-3.6255,RESFRIANDO
60.452,19.22,19.47,-2.25,-3.3312,RESFRIANDO
60.978,19.13,19.22,-2.5,-3.7462,RESFRIANDO
61.308,19.61,19.22,-2.5,-4.1636,RESFRIANDO
61.624,19.66,19.47,-2.25,-4.3966,RESFRIANDO
61.994,19.76,19.61,-2.11,-4.3776,RESFRIANDO
62.344,19.47,19.61,-2.11,-3.9897,RESFRIANDO
62.656,19.66,19.66,-2.06,-3.3419,RESFRIANDO
62.971,19.27,19.66,-2.06,-2.6864,RESFRIANDO
63.292,19.47,19.47,-2.25,-2.4703,RESFRIANDO
